answer_body,truth,answer_id
"['It can be caused by a classpath contamination.', ""Check that you <code>/WEB-INF/lib</code> doesn't contain something like <code>jsp-api-*.jar</code>.""]",[1],2322332
"['You want the <code>resetForm()</code> method:', 'BIGBLOCK', 'I grabbed it from the source of one of their demos.', ""Note: This code won't work for Bootstrap 3.""]","[0, 1]",2086363
"['Can anyone give me a good example of when CROSS APPLY makes a difference in those cases where INNER JOIN will work as well?', 'See the article in my blog for detailed performance comparison:', '<li><strong><code>INNER JOIN</code> vs. <code>CROSS APPLY</code></strong>', '<code>CROSS APPLY</code> works better on things that have no simple <code>JOIN</code> condition.', 'This one selects <code>3</code> last records from <code>t2</code> for each record from <code>t1</code>:', 'It cannot be easily formulated with an <code>INNER JOIN</code> condition.', ""You could probably do something like that using <code>CTE</code>'s and window function:"", ', but this is less readable and probably less efficient.', '<strong>Update:</strong>', 'Just checked.', '<code>master</code> is a table of about <code>20,000,000</code> records with a <code>PRIMARY KEY</code> on <code>id</code>.', 'This query:', 'runs for almost <code>30</code> seconds, while this one:', 'is instant.']","[1, 3]",1139231
"['If you have access to change the JVM parameters, adding verbose output should allow you to see what classes are being loaded from what JARs.', 'When your program is run, the JVM should dump to standard out information such as:', '...', '[Loaded junit.framework.Assert from file:/C:/Program%20Files/junit3.8.2/junit.jar]', '...']",[0],42097
"['It is the directory from where you start the batch file.', 'E.g.', 'if your batch is in <code>c:\\dir1\\dir2</code> and you do <code>cd c:\\dir3</code>, then run the batch, the current directory will be <code>c:\\dir3</code>.']",[0],4419890
"['PowerShell Community Extensions (PSCX) provides the <code>Get-FileTail</code> cmdlet.', 'It looks like a suitable solution for the task.', 'Note: I did not try it with extremely large files but the description says it efficiently tails the contents and it is designed for large log files.', 'BIGBLOCK']","[0, 3]",4428879
"['The second is preferred because it is far less likely to result in an accidental cross join by forgetting to put inthe where clause.', 'A join with no on clause will fail the syntax check, an old style join with no where clause will not fail, it will do a cross join.', 'Additionally when you later have to a left join, it is helpful for maintenance that they all be in the same structure.', 'And the old syntax has been out of date since 1992, it is well past time to stop using it.', ""Plus I have found that many people who exclusively use the first syntax don't really understand joins and understanding joins is critical to getting correct results when querying.""]","[0, 1]",894533
"['Excellent solution!', 'I noticed when I tried to implement it that if I returned a value in the success clause, it came back as undefined.', 'I had to store it in a variable and return that variable.', 'This is the method I came up with:']","[1, 2]",2592780
"['if you want to check through a server.php or what ever you want to call it  with the following:', 'or', 'Then access it with all the valid urls for your site and check out the difference.']",[],2895556
['You can also set the HTTP proxy that Git uses in global configuration property <code>http.proxy</code>:'],[0],3406766
"['By the way, if you type it as a multiline (as you are showing) at the command prompt and then call the history with arrow up, you will get it on a single line, correctly punctuated.']",[],1289029
"['You could also do:', 'BIGBLOCK', ""Although you'd run into issues if there are duplicate options.""]","[0, 1]",1185564
"['We can solve Q2 by summing both the numbers themselves, and the <em>squares</em> of the numbers.', 'We can then reduce the problem to', 'BIGBLOCK', 'Where <code>x</code> and <code>y</code> are how far the sums are below the expected values.', 'Substituting gives us:', 'BIGBLOCK', 'Which we can then solve to determine our missing numbers.']",[0],3492373
"[""In addition to what's been said already, it should be said that optimistic locking tends to improve concurrency at the expense of predictability."", 'Pessimistic locking tends to reduce concurrency, but is more predictable.', 'You pays your money, etc']","[0, 1]",129431
"['Add a second <code>});</code>.', 'When properly indented, your code reads', 'You never closed the outer <code>$(function() {</code>.']","[0,2]",3983103
"['Generally speaking, the fact that a function which iterates over an object works on strings as well as tuples and lists is more feature than bug.', 'You certainly can use <code>isinstance</code> or duck typing to check an argument, but why should you?', ""That sounds like a rhetorical question, but it isn't."", 'The answer to ""why should I check the argument\'s type?""', 'is probably going to suggest a solution to the real problem, not the perceived problem.', 'Why is it a bug when a string is passed to the function?', ""Also:  if it's a bug when a string is passed to this function, is it also a bug if some other non-list/tuple iterable is passed to it?"", 'Why, or why not?', 'I think that the most common answer to the question is likely to be that developers who write <code>f(""abc"")</code> are expecting the function to behave as though they\'d written <code>f([""abc""])</code>.', 'There are probably circumstances where it makes more sense to protect developers from themselves than it does to support the use case of iterating across the characters in a string.', ""But I'd think long and hard about it first.""]",[],1835599
"['Private:', 'The private members of a base class can only be accessed by members of that base class .', 'Public:', 'The public members of a base class can be accessed by members of that base class, members of its derived class as well as the members which are outside the base class and derived class.', 'Protected:', 'The protected members of a base class can be accessed by members of base class as well as members of its derived class.', 'In short:', '<strong>private</strong>:  base', '<strong>protected</strong>:  base + derived', '<strong>public</strong>:  base + derived + any other member']","[6, 7, 8, 9]",2013415
"[""Let's say a function is a block of code (usually with its own scope, and sometimes with its own closure) that may receive some arguments and may also return a result."", 'A method is a function that is owned by an object (in some object oriented systems, it is more correct to say it is owned by a class).', 'Being ""owned"" by a object/class means that you refer to the method through the object/class; for example, in Java if you want to invoke a method ""open()"" owned by an object ""door"" you need to write ""door.open()"".', 'Usually methods also gain some extra attributes describing their behaviour within the object/class, for example: visibility (related to the object oriented concept of encapsulation) which defines from which objects (or classes) the method can be invoked.', 'In many object oriented languages, all ""functions"" belong to some object (or class) and so in these languages there are no functions that are not methods.']","[0, 1]",155642
"['You need to be running a mail server locally.If this is Unix, enable sendmailIf this is Windows  install the Simple Mail Transfer Server (not sure if the name is correct) component of IIs.', 'E.g.', 'for windows 2003 follow this: http://msdn.microsoft.com/en-us/library/8b83ac7t.aspx']",[0],395342
"['Do not attempt to remove any Apple-supplied system Python which are in <code>/System/Library</code> and <code>/usr/bin</code>, as this may break your whole operating system.', 'NOTE: The steps listed below do not affect the Apple-supplied system Python 2.7; they only remove a third-party Python framework, like those installed by python.org installers.', 'The complete list is documented here.', 'Basically, all you need to do is the following:', 'Remove the third-party Python 2.7 framework', 'Remove the Python 2.7 applications directory', 'Remove the symbolic links, in <code>/usr/local/bin</code>, that point to this Python version.', 'See them using', 'and then run the following command to remove all the links:', 'If necessary, edit your shell profile file(s) to remove adding <code>/Library/Frameworks/Python.framework/Versions/2.7</code> to your <code>PATH</code> environment file.', 'Depending on which shell you use, any of the following files may have been modified:', '<code>~/.bash_login</code>, <code>~/.bash_profile</code>, <code>~/.cshrc</code>, <code>~/.profile</code>, <code>~/.tcshrc</code>, and/or <code>~/.zprofile</code>.']","[2,3]",3819829
"['<strong>Getter functions in module operator</strong>', 'The functions <code>attrgetter()</code> and <code>itemgetter()</code> in module <code>operator</code> can be used to generate fast access functions for use in sorting and search objects and dictionaries', 'Chapter 6.7 in the Python Library Docs']",[0],101731
"['The definitions from the links to the two exceptions above are', 'IllegalArgumentException: Thrown to indicate that a method has been passed an illegal or inappropriate argument.', 'NullPointerException: Thrown when an application attempts to use null in a case where an object is required.', 'The big difference here is the IllegalArgumentException is supposed to be used when checking that an argument to a method is valid.', 'NullPointerException is supposed to be used whenever an object being ""used"" when it is null.', 'I hope that helps put the two in perspective.']","[3,4]",13262
"['It is just a method that defines getter and setter methods for instance variables.', 'An example implementation would be:']",[0],4371142
"['Look up <code>ATSApplicationFontsPath</code>', 'A simple plist entry that allows you to include the font file(s) in your app resources folder and they ""just work"" in your app.']","[0, 1]",733907
"['You should throw an IllegalArgumentException, as it will make it obvious to the programmer that he has done something invalid.', ""Developers are so used to seeing NPE thrown by the VM, that any programmer would not immediately realize his error, and would start looking around randomly, or worse, blame your code for being 'buggy'.""]",[0],51213
['Make the destructor virtual whenever your class is polymorphic.'],[0],461213
"['""\\\\s+"" should do the trick']",[0],225349
"['It is not possible to create an interface that defines constructors, but it <strong>is</strong> possible to define an interface that forces a type to have a paramerterless constructor, though be it a very ugly syntax that uses generics...', 'I am actually not so sure that it is really a good coding pattern.', 'BIGBLOCK', 'On the other hand, if you want to test if a type has a paramerterless constructor, you can do that using reflection:', 'BIGBLOCK', 'Hope this helps.']","[0, 2, 3, 4]",619952
"['You can use console.log(...) directly in Firefox but not in IEs.', 'In IEs you have to use window.console.']","[0, 1]",3340478
"['1) An interface can be seen as a pure Abstract Class, is the same, but despite this, is not the same to implement an interface and inheriting from an abstract class.', 'When you inherit from this pure abstract class you are defining a hierarchy -> inheritance, if you implement the interface you are not, and you can implement as many interfaces as you want, but you can only inherit from one class.', '2) You can define a property in an interface, so the class that implements that interface must have that property.', 'For example:', 'The class that implements that interface must have a property like that.']",[0],761223
"[""Normally, there's no need to set fields to null."", ""I'd always recommend disposing unmanaged resources however."", ""From experience I'd also advise you to do the following:"", '<li>Unsubscribe from events if you no longer need them.', ""<li>Set any field holding a delegate or an expression to null if it's no longer needed."", ""I've come across some very hard to find issues that were the direct result of not following the advice above."", 'A good place to do this is in Dispose(), but sooner is usually better.', 'In general, if a reference exists to an object the garbage collector (GC) may take a couple of generations longer to figure out that an object is no longer in use.', 'All the while the object remains in memory.', ""That may not be a problem until you find that your app is using a lot more memory than you'd expect."", 'When that happens, hook up a memory profiler to see what objects are not being cleaned up.', 'Setting fields referencing other objects to null and clearing collections on disposal can really help the GC figure out what objects it can remove from memory.', 'The GC will reclaim the used memory faster making your app a lot less memory hungry and faster.']","[2, 3, 4, 6, 11]",2927190
"['If you have a function like:', ""Then foo() will keep calling itself, getting deeper and deeper, and when the space used to keep track of what functions you're in is filled up, you get the stack overflow error.""]",[1],214756
"['I used this script which I have put on my blog (How-to generate Insert statement procedures on sql server).', 'So far has worked for me, although they might be bugs I have not discovered yet .']",[0],2490475
"['All have given a very good explanation.', 'I am still posting my answer just to give an example if that can help.', 'Here is the output:', '0[Printed] 1[Printed] 2[Printed]', 'So 3[Printed] &amp; 4[Printed] will not be displayed as there is break when i == 3', 'Here is the output:', '0[Printed] 1[Printed] 2[Printed] 4[Printed]', 'So 3[Printed]  will not be displayed as there is continue when i == 3']",[1],4497072
"[""I've made a small improvement to Fedor's code."", 'It basically does the same, but without the (in my opinion) ugly while loop and it always results in a power of two.', 'Kudos to Fedor for making the original solution, I was stuck until I found his, and then I was able to make this one :)']",[1],3549021
['Assuming ASCII strings:'],[0],319435
"['CakePHP has a recursive Set::map class that basically maps an array into an object.', 'You may need to change what the array looks like in order to make the object look the way you want it.', 'http://api.cakephp.org/view_source/set/#line-158', 'Worst case, you may be able to get a few ideas from this function.']",[],1869234
"[""As an addendum to Don's answer, not only does groovy add a <code>.toInteger()</code> method to <code>String</code>s, it also adds <code>toBigDecimal()</code>, <code>toBigInteger()</code>, <code>toBoolean()</code>, <code>toCharacter()</code>, <code>toDouble()</code>, <code>toFloat()</code>, <code>toList()</code>, and <code>toLong()</code>."", 'In the same vein, groovy also adds <code>is*</code> eqivalents to all of those that return <code>true</code> if the <code>String</code> in question can be parsed into the format in question.', 'The relevant GDK page is here.']",[0],1724227
"['I do the following:', 'Works every time.', ':)']",[0],1607725
"['If you think of the body of a loop as a subroutine, <code>continue</code> is sort of like <code>return</code>.', 'The same keyword exists in C, and serves the same purpose.', ""Here's a contrived example:"", 'This will print out only the odd numbers.']",[0],389764
"['Client-side validation was not being executed at all on my web form and I had no idea why.', 'It turns out the problem was the name of the javascript function was the same as the server control ID.', ""So you can't do this..."", 'But this works:', ""I'm guessing it conflicts with internal .NET Javascript?""]","[1, 2, 3]",753896
"['Note that in the case of reflection, you get an <code>NoSuchMethodException</code>, while with non-reflective code, you get <code>NoSuchMethodError</code>.', 'I tend to go looking in very different places when confronted with one versus the other.']",[0],36617
['I use this:'],[0],2280982
"['I also put dsym, app bundle, and crash log together in the same directory before running symbolicate crash', 'Then I use this function defined in my .profile to simplify running symbolicatecrash:', 'BIGBLOCK', 'The arguments added there may help you.', 'You can check to make sure spotlight ""sees"" your dysm files by running the command:', 'BIGBLOCK', 'Look for the dsym you have in your directory.', 'NOTE: As of the latest Xcode, there is no longer a Developer directory.', 'You can find this utility here:', '<strong>/Applications/Xcode.app/Contents/SharedFrameworks/DTDeviceKitBase.framework/Vers\u200c\u200bions/A/Resources/symbolicatecrash</strong>']","[1, 2, 4, 5]",1462672
"[""You don't need to use height, just make sure you use <code>_blank</code>,  Without it, it opens in a new tab."", 'For a empty window:', 'For a specific URL:']",[0],2315916
"[""I know this is an old question but for people searching for this solution it's worth noting that you should not use append() to add content to a textarea."", 'the append() method targets innerHTML not the value of the textarea.', ""The content may appear in the textarea but it will not be added to the element's form value."", 'As noted above using:', 'BIGBLOCK', 'will work fine.']","[0, 3, 4, 5]",3676837
"[""Either attribute can be applied to View's (visual control) horizontal or vertical size."", ""It's used to set a View or Layouts size based on either it's contents or the size of it's parent layout rather than explicitly specifying a dimension."", '<strong><code>fill_parent</code></strong> (deprecated and renamed <code>MATCH_PARENT</code> in API Level 8 and higher)', ""Setting the layout of a widget to fill_parent will force it to expand to take up as much space as is available within the layout element it's been placed in."", ""It's roughly equivalent of setting the dockstyle of a Windows Form Control to <code>Fill</code>."", 'Setting a top level layout or control to fill_parent will force it to take up the whole screen.', '<strong><code>wrap_content</code></strong>', ""Setting a View's size to wrap_content will force it to expand only far enough to contain the values (or child controls) it contains."", 'For controls -- like text boxes (TextView) or images (ImageView) -- this will wrap the text or image being shown.', 'For layout elements it will resize the layout to fit the controls / layouts added as its children.', ""It's roughly the equivalent of setting a Windows Form Control's <code>Autosize</code> property to True."", '<strong>Online Documentation</strong>', ""There's some details in the Android code documentation here.""]","[1, 2, 3, 5, 6, 7, 9]",433033
"['I guess you are using an IDE (like Netbeans) which allows you to run the code even if certain classes are not compilable.', ""During the application's runtime, if you access this class it would lead to this exception.""]","[0,1]",2333313
"['According to what I see by using .NET Reflector:', 'So we can be sure that DictionaryBase uses a HashTable internally.']",[],2409689
"['Looks like FireBug crew is working on an EventBug extension.', 'It will add another panel to FireBug - Events.', '""The events panel will list all of the event handlers on the page grouped by event type.', 'For each event type you can open up to see the elements the listeners are bound to and summary of the function source.""', 'EventBug Rising', 'Although they cannot say right now when it will be released.']","[0, 1]",1637273
"[""For different values of k, the approach will be different so there won't be a generic answer in terms of k. For example, for k=1 one can take advantage of the sum of natural numbers, but for k = n/2, one has to use some kind of bitset."", 'The same way for k=n-1, one can simply compare the only number in the bag with the rest.']",[0],3492424
"[""To answer that question, I'd like to describe member's accessors first in my own words."", 'If you already know this, skip to the heading ""next:"".', ""There are three accessors that I'm aware of: <code>public</code>, <code>protected</code> and <code>private</code>."", 'Let:', '<li>Everything that is aware of <code>Base</code> is also aware that <code>Base</code> contains <code>publicMember</code>.', '<li>Only the children (and their children) are aware that <code>Base</code> contains <code>protectedMember</code>.', '<li>No one but <code>Base</code> is aware of <code>privateMember</code>.', 'By ""is aware of"", I mean ""acknowledge the existence of, and thus be able to access"".', 'next:', 'The same happens with public, private and protected inheritance.', ""Let's consider a class <code>Base</code> and a class <code>Child</code> that inherits from <code>Base</code>."", '<li>If the inheritance is <code>public</code>, everything that is aware of <code>Base</code> and <code>Child</code> is also aware that <code>Child</code> inherits from <code>Base</code>.', '<li>If the inheritance is <code>protected</code>, only <code>Child</code>, and its children, are aware that they inherit from <code>Base</code>.', '<li>If the inheritance is <code>private</code>, no one other than <code>Child</code> is aware of the inheritance.']","[4, 5, 6]",860353
"['Apart from the fact that mutexes have an owner, the two objects may be optimized for different usage.', 'Mutexes are designed to be held only for a short time; violating this can cause poor performance and unfair scheduling.', 'For example, a running thread may be permitted to acquire a mutex, even though another thread is already blocked on it.', 'Semaphores may provide more fairness, or fairness can be forced using several condition variables.']","[1,3]",3517129
"[""Trying to do the same thing consistently with arrays and hashes might just be a code smell, but, at the risk of my being branded as a codorous half-monkey-patcher, if you're looking for consistent behaviour, would this do the trick?"", ':']",[],2893932
"[""The only way to know is to read your implementation's documentation."", 'In the C standard, section 6.10.2, paragraphs 2 to 4 state:', 'A preprocessing directive of the form', 'searches a sequence of implementation-defined places for a header identified uniquely by the specified sequence between the <code>&lt;</code> and <code>&gt;</code> delimiters, and causes the replacement of that directive by the entire contents of the header.', 'How the places are specified or the header identified is implementation-defined.', 'A preprocessing directive of the form', 'causes the replacement of that directive by the entire contents of the source file identified by the specified sequence between the <code>""</code> delimiters.', 'The named source file is searched for in an implementation-defined manner.', 'If this search is not supported, or if the search fails, the directive is reprocessed as if it read', 'with the identical contained sequence (including <code>&gt;</code> characters, if any) from the original', '  directive.', 'A preprocessing directive of the form', '(that does not match one of the two previous forms) is permitted.', 'The preprocessing tokens after <code>include</code> in the directive are processed just as in normal text.', '(Each identifier currently defined as a macro name is replaced by its replacement list of preprocessing tokens.)', 'The directive resulting after all replacements shall match one of the two previous forms.', 'The method by which a sequence of preprocessing tokens between a <code>&lt;</code> and a <code>&gt;</code> preprocessing token pair or a pair of <code>""</code> characters is combined into a single header name preprocessing token is implementation-defined.', '  Definitions:', 'h-char: any member of the source character set except the new-line character and <code>&gt;</code>', 'q-char: any member of the source character set except the new-line character and <code>""</code>']","[2,3,5,6,8,9,10]",77092
"['In ""Javascript 1.7"" (Mozilla\'s extension to Javascript) one can also declare block-scope variables with <code>let</code> statement:']",[],2321330
"['I believe the kernel raises SIGBUS  when an application exhibits data  misalignment on the data bus.', 'I think  that since most[?]', 'modern compilers  for most processors pad / align the  data for the programmers, the  alignment troubles of yore (at least)  mitigated, and hence one does not see  SIGBUS too often these days (AFAIK).', 'From: Here']",[0],1931219
"['Use the <code>java.util.concurrent.TimeUnit</code> class:', 'Note: <code>TimeUnit</code> is part of the Java 1.5 specification, but <code>toMinutes</code> was added as of Java 1.6.', 'To add a leading zero for values 0-9, just do:', 'If <code>TimeUnit</code> or <code>toMinutes</code> are unsupported (such as on Android before API version 9), use the following equations:']",[0],625624
"[""If you look into the source of java.lang.Runtime, you'll see exec finally call protected method: execVM, which means it uses Virtual memory."", 'So for Unix-like system, VM depends on amount of swap space + some ratio of physical memory.', ""Michael's answer did solve your problem but it might (or to say, would eventually) cause the O.S."", 'deadlock in memory allocation issue since 1 tell O.S.', 'less careful of memory allocation &amp; 0 is just guessing &amp; obviously that you are lucky that O.S.', 'guess you can have memory THIS TIME.', 'Next time?', 'Hmm.....', 'Better approach is that you experiment your case &amp; give a good swap space &amp; give a better ratio of physical memory used &amp; set value to 2 rather than 1 or 0.']",[8],3383488
"['Directly from the (old) Python documentation (recipes for itertools):', 'The current version, as suggested by J.F.Sebastian:', ""I guess Guido's time machine worksÃ©ÂÂ¥Ã¦ÂÂorkedÃ©ÂÂ¥Ã¦ÂÂill workÃ©ÂÂ¥Ã¦ÂÂill have workedÃ©ÂÂ¥Ã¦ÂÂas working again."", 'These solutions work because <code>[iter(iterable)]*n</code> (or the equivalent in the earlier version) creates <em>one</em> iterator, repeated <code>n</code> times in the list.', '<code>izip_longest</code> then effectively performs a round-robin of ""each"" iterator; because this is the same iterator, it is advanced by each such call, resulting in each such zip-roundrobin generating one tuple of <code>n</code> items.']","[2, 3]",312644
"['You can use, for example:', 'BIGBLOCK']",[1],3136699
"['In modern browsers (IE9+, FF4+, Chrome5+, Opera12+, Safari5+) you can use the built in Object.keys method:', 'The above has a full polyfill but a simplified version is:', 'Alternatively replace <code>var getKeys</code> with <code>Object.prototype.keys</code> to allow you to call <code>.keys()</code> on any object.', ""Extending the prototype has some side effects and I wouldn't recommend doing it.""]","[0, 2]",208020
"['This is caused by writing to a connection when the other end has already closed it.', 'So you have a poorly defined or implemented application protocol.']",[0],2309844
"['Several ways.', 'From the shell', 'From inside IDLE, hit F5.', ""If you're typing interactively, try this.""]","[1,2]",1027739
"['Nothing.', 'They both do the same, both perform about equally.', 'The only reason you should choose one over the other is if you help out with a project that already uses one..', 'The other possible reason for choosing one is an application or service which only supports one of the system.. For example, I pretty much chose to learn git because of github..']","[1, 2]",35903
"['Strip time on inserts/updates in the first place.', 'As for on-the-fly conversion, nothing can beat a user-defined function maintanability-wise:', ""The implementation of <code>date_only</code> can be anything you like - now it's abstracted away and calling code is much much cleaner.""]","[1, 2]",1177467
"['The old contents of this answer is now deprecated.', 'See the other answers based on <code>MutationObserver</code>.']",[0],2844704
"['A really easy way to understand this is to place the word ""loop"" after each of the keywords.', 'The terms now make sense if they are just read like everyday phrases.', '<strong><code>break</code></strong> loop - looping is broken and stops.', '<strong><code>continue</code></strong> loop - loop continues to execute with the next iteration.']","[0, 2, 3]",6442
"[""There are plenty of good answers here about reading it in chunks, I'm just gonna show you a little trick that reads all the content at once to a buffer and prints it."", ""I'm not saying it's better."", ""It's not, and as Ricardo sometimes it can be bad, but I find it's a nice solution for the simple cases."", ""I sprinkled it with comments because there's a lot going on."", ""Let me know if it's useful or you could learn something from it :)""]",[0],3464656
"['A great way to find out:', 'BIGBLOCK', 'Try to compile.']","[0, 1]",2254450
"['either send the user to another page which does it', 'BIGBLOCK', 'or do it with ajax', 'BIGBLOCK']","[0, 1, 2, 3]",1280923
"[""With C++, Plain Old Data doesn't just mean that things like int, char, etc are the only types used."", 'Plain Old Data really means in practice that you can take a struct memcpy it from one location in memory to another and things will work exactly like you would expect (i.e.', 'not blow up).', 'This breaks if your class, or any class your class contains, has as a member that is a pointer or a reference or a class that has a virtual function.', 'Essentially, if pointers have to be involved somewhere, its not Plain Old Data.']","[1, 4]",146625
"['Without the main sentinel, the code would be executed even if the script were imported as a module.']",[0],4041253
"['Use a vector:', 'BIGBLOCK']","[0, 1]",755841
"['In short a web server is a server that serves web pages to users via http.', 'An application server is a server that hosts the business logic for a system.', 'It often hosts both long running/batch processes and/or a interop services not meant for human consumption (REST/JSON services, SOAP, RPC, etc).']","[0, 1]",936213
"['<strong>Polymorphism</strong> is the ability of a class instance to behave as if it were an instance of another class in its inheritance tree, most often one of its ancestor classes.', 'For example, in Java all classes inherit from Object.', 'Therefore, you can create a variable of type Object and assign to it an instance of any class.', 'An <strong>override</strong> is a type of function which occurs in a class which inherits from another class.', 'An override function ""replaces"" a function inherited from the base class, but does so in such a way that it is called even when an instance of its class is pretending to be a different type through polymorphism.', 'Referring to the previous example, you could define your own class and override the toString() function.', 'Because this function is inherited from Object, it will still be available if you copy an instance of this class into an Object-type variable.', 'Normally, if you call toString() on your class while it is pretending to be an Object, the version of toString which will actually fire is the one defined on Object itself.', ""However, because the function is an override, the definition of toString() from your class is used even when the class instance's true type is hidden behind polymorphism."", '<strong>Overloading</strong> is the action of defining multiple methods with the same name, but with different parameters.', 'It is unrelated to either overriding or polymorphism.']","[0, 3, 4]",154673
"[""You can't do it in a <code>switch</code> unless you're doing <strong>full</strong> string matching; that's doing <strong>substring</strong> matching."", ""<em>(This isn't</em> quite <em>true, as Sean points out in the comments."", 'See note at the end.', ')</em>', ""If you're happy that your regex at the top is stripping away everything that you don't want to compare in your match, you don't need a substring match, and could do:"", 'BIGBLOCK', ""...but again, that only works if that's the <em>complete</em> string you're matching."", 'It would fail if <code>base_url_string</code> were, say, ""yyy.xxx.local"" whereas your current code would match that in the ""xxx.local"" branch.', ""<strong>Update</strong>: Okay, so technically you <em>can</em> use a <code>switch</code> for substring matching, but I wouldn't recommend it in most situations."", ""Here's how (live example):"", 'BIGBLOCK', 'That works because of the way JavaScript <code>switch</code> statements work, in particular two key aspects: First, that the cases are considered in <em>source text</em> order, and second that the selector expressions (the bits after the keyword <code>case</code>) are <em>expressions</em> that are evaluated as that case is evaluated (not constants as in some other languages).', 'So since our test expression is <code>true</code>, the first <code>case</code> expression that results in <code>true</code> will be the one that gets used.']","[0, 4, 5, 7, 8, 9, 10]",2896642
"['Depends on what they looked like.', 'I use gitx which makes pictures like this one:', 'You can compare <code>git log --graph</code> vs. gitk on a 24-way octopus merge (originally from http://clojure-log.n01se.net/date/2008-12-24.html):']","[1,2]",1058973
"['You might be needing a cleanup', 'or you might be needing a prune', '<strong>prune</strong>', 'Deletes all stale tracking branches under &lt;name>.', 'These stale branches have already been removed from the remote repository referenced by &lt;name>, but are still locally available in ""remotes/&lt;name>"".', 'With --dry-run option, report what branches will be pruned, but do no actually prune them.', 'However, it appears these should have been cleaned up earlier with', '<strong>rm</strong>', 'Remove the remote named &lt;name>.', 'All remote tracking branches and configuration settings for the remote             are removed.', 'So it might be you hand-edited your config file and this did not occur, or you have privilege problems.', 'Maybe run that again and see what happens.', 'Advice Context', 'If you take a look in the revision logs,  you\'ll note I suggested more ""correct"" techniques, which for whatever reason didn\'t want to work on their repository.', 'I suspected the OP had done something that left their tree in an inconsistent state that caused it to behave a bit strangely, and <code>git gc</code> was required to fix up the left behind cruft.', '<em>Usually</em>  <code>git branch -rd origin/badbranch</code> is sufficient for nuking a local tracking branch , or <code>git push origin :badbranch</code> for nuking a remote branch, and <em>usually</em> you will <em>never</em> need to call <code>git gc</code>']","[2, 3, 7, 8, 14, 15]",1072178
"['I always just look at <code>SHOW CREATE TABLE mydatabase.mytable</code>.', 'For the database, it appears you need to look at <code>SELECT DEFAULT_CHARACTER_SET_NAME FROM information_schema.SCHEMATA</code>.']",[0],1049753
"['here is an example when CROSS APPLY makes a huge difference with performance:', 'Using CROSS APPLY to optimize joins on BETWEEN conditions', 'Note that besides replacing inner joins you can also reuse code such as truncating dates without paying performance penalty for involing scalar UDFs, for example: Calculating third Wednesday of the month with inline UDFs']",[1],1139416
"['<code>in</code> is definitely more pythonic.', 'In fact <code>has_key()</code> was removed in Python 3.x.']",[0],1323426
"['The Java runtime library supports validation.', 'Last time I checked this was the Apache Xerces parser under the covers.', 'You should probably use a javax.xml.validation.Validator.', 'BIGBLOCK', 'The schema factory constant is the string <code>http://www.w3.org/2001/XMLSchema</code> which defines XSDs.', 'The above code validates a WAR deployment descriptor against the URL <code>http://java.sun.com/xml/ns/j2ee/web-app_2_4.xsd</code> but you could just as easily validate against a local file.', 'You should not use the DOMParser to validate a document (unless your goal is to create a document object model anyway).', ""This will start creating DOM objects as it parses the document - wasteful if you aren't going to use them.""]","[2, 3, 5]",16054
"['A ""const function"", denoted with the keyword <code>const</code> after a function declaration, makes it a compiler error for this class function to change a member variable of the class.', 'However, reading of a class variables is ok inside of the function, but writing inside of this function will generate a compiler error.', 'Another way of thinking about such ""const function"" is by viewing an class function as a normal function taking an implicit <code>this</code> pointer.', 'So a method <code>int Foo::Bar(int random_arg)</code> (without the const at the end) results in a function like <code>int Foo_Bar(Foo* this, int random_arg)</code>, and a call such as <code>Foo f; f.Bar(4)</code> will internally correspond to something like <code>Foo f; Foo_Bar(&amp;f, 4)</code>.', 'Now adding the const at the end (<code>int Foo::Bar(int random_arg) const</code>) can then be understood as a declaration with a const this pointer: <code>int Foo_Bar(const Foo* this, int random_arg)</code>.', 'Since the type of <code>this</code> in such case is const, no modifications of member variables are possible.', 'It is possible to loosen the ""const function"" restriction of not allowing the function to write to any variable of a class.', 'To allow some of the variables to be writable even when the function is marked as a ""const function"", these class variables are marked with the keyword <code>mutable</code>.', 'Thus, if a class variable is marked as mutable, and a ""const function"" writes to this variable then the code will compile cleanly and the variable is possible to change.', '(C++11)', 'As usual when dealing with the <code>const</code> keyword, changing the location of the const key word in a C++ statement has entirely different meanings.', 'The above usage of <code>const</code> only apply when adding <code>const</code> to the end of the function declaration after the parenthesis.', '<code>const</code> is a highly overused qualifier in C++ and the syntax and ordering is often not straightforward in combination with pointers.', 'Some readings about <code>const</code> correctness and the <code>const</code> keyword:', 'Const correctness', ""The C++ 'const' Declaration: Why &amp; How""]",[0],3141107
